
Iteracao	Valor 1	Valor 2	Valor 3	Valor 4	Valor 5	Valor 6	Valor 7	Valor 8	Custo
Iteracao	Valor 1	Valor 2	Valor 3	Valor 4	Valor 5	Valor 6	Valor 7	Valor 8	Custo
0	25	24	17	16	14	12	7	9	19
1	25	24	17	16	14	12	7	9	16
2	25	24	17	16	14	12	7	9	16
3	25	24	17	16	14	12	7	9	16
4	25	24	17	16	14	12	7	9	19
5	25	24	17	16	14	12	7	9	19
6	25	24	17	16	14	12	7	9	18
7	25	24	17	16	14	12	7	9	19
8	25	24	17	16	14	12	7	9	18
9	25	24	17	16	14	12	7	9	18
10	25	24	17	16	14	12	7	9	16
11	25	24	17	16	14	12	7	9	15
12	25	24	17	16	14	12	7	9	19
13	25	24	17	16	14	12	7	9	19
14	25	24	17	16	14	12	7	9	19
15	25	24	17	16	14	12	7	9	19
16	25	24	17	16	14	12	7	9	18
17	25	24	17	16	14	12	7	9	17
18	25	24	17	16	14	12	7	9	19
19	25	24	17	16	14	12	7	9	17
20	25	24	17	16	14	12	7	9	16
21	25	24	17	16	14	12	7	9	15
22	25	24	17	16	14	12	7	9	18
23	25	24	17	16	14	12	7	9	18
24	25	24	17	16	14	12	7	9	17
25	25	24	17	16	14	12	7	9	17
26	25	24	17	16	14	12	7	9	18
27	25	24	17	16	14	12	7	9	18
28	25	24	17	16	14	12	7	9	15
29	25	24	17	16	14	12	7	9	19
30	25	24	17	16	14	12	7	9	16
31	25	24	17	16	14	12	7	9	19
32	25	24	17	16	14	12	7	9	19
33	25	24	17	16	14	12	7	9	15
34	25	24	17	16	14	12	7	9	15
35	25	24	17	16	14	12	7	9	15
36	25	24	17	16	14	12	7	9	17
37	25	24	17	16	14	12	7	9	15
38	25	24	17	16	14	12	7	9	16
39	25	24	17	16	14	12	7	9	15
